Date,Year,Month,Day,Radiation
1/2/1984,1984,1,2,619
1/3/1984,1984,1,3,4378
1/4/1984,1984,1,4,3845
1/5/1984,1984,1,5,2236
1/6/1984,1984,1,6,3406
1/7/1984,1984,1,7,3762
1/8/1984,1984,1,8,4298
1/9/1984,1984,1,9,3632
1/10/1984,1984,1,10,1854
1/11/1984,1984,1,11,5047
1/12/1984,1984,1,12,5184
1/13/1984,1984,1,13,4172
1/14/1984,1984,1,14,1940
1/15/1984,1984,1,15,5594
1/16/1984,1984,1,16,4615
1/17/1984,1984,1,17,1127
1/18/1984,1984,1,18,4558
1/19/1984,1984,1,19,5274
1/20/1984,1984,1,20,835
1/21/1984,1984,1,21,1897
1/22/1984,1984,1,22,2300
1/23/1984,1984,1,23,2578
1/24/1984,1984,1,24,2056
1/25/1984,1984,1,25,1760
1/26/1984,1984,1,26,2743
1/27/1984,1984,1,27,2772
1/28/1984,1984,1,28,5180
1/29/1984,1984,1,29,2686
1/30/1984,1984,1,30,2174
1/31/1984,1984,1,31,4349
2/1/1984,1984,2,1,5213
2/2/1984,1984,2,2,954
2/3/1984,1984,2,3,3686
2/4/1984,1984,2,4,3546
2/5/1984,1984,2,5,2459
2/6/1984,1984,2,6,5522
2/7/1984,1984,2,7,2488
2/8/1984,1984,2,8,5310
2/9/1984,1984,2,9,1501
2/10/1984,1984,2,10,1292
2/11/1984,1984,2,11,6962
2/12/1984,1984,2,12,5274
2/13/1984,1984,2,13,7009
2/14/1984,1984,2,14,5562
2/15/1984,1984,2,15,4763
2/16/1984,1984,2,16,7164
2/17/1984,1984,2,17,5821
2/18/1984,1984,2,18,5677
2/19/1984,1984,2,19,5915
2/20/1984,1984,2,20,5810
2/21/1984,1984,2,21,7002
2/22/1984,1984,2,22,6786
2/23/1984,1984,2,23,2563
2/24/1984,1984,2,24,1987
2/25/1984,1984,2,25,2455
2/26/1984,1984,2,26,5958
2/27/1984,1984,2,27,5202
2/28/1984,1984,2,28,3049
2/29/1984,1984,2,29,5108
3/1/1984,1984,3,1,10505
3/2/1984,1984,3,2,2974
3/3/1984,1984,3,3,2171
3/4/1984,1984,3,4,2538
3/5/1984,1984,3,5,4795
3/6/1984,1984,3,6,3568
3/7/1984,1984,3,7,2632
3/8/1984,1984,3,8,11012
3/9/1984,1984,3,9,5738
3/10/1984,1984,3,10,7038
3/11/1984,1984,3,11,3870
3/12/1984,1984,3,12,1307
3/13/1984,1984,3,13,5281
3/14/1984,1984,3,14,11963
3/15/1984,1984,3,15,10771
3/16/1984,1984,3,16,8334
3/17/1984,1984,3,17,8741
3/18/1984,1984,3,18,10267
3/19/1984,1984,3,19,14368
3/20/1984,1984,3,20,14087
3/21/1984,1984,3,21,13860
3/22/1984,1984,3,22,12064
3/23/1984,1984,3,23,12982
3/24/1984,1984,3,24,12906
3/25/1984,1984,3,25,12002
3/26/1984,1984,3,26,10991
3/27/1984,1984,3,27,10109
3/28/1984,1984,3,28,10494
3/29/1984,1984,3,29,15728
3/30/1984,1984,3,30,1728
3/31/1984,1984,3,31,10526
4/1/1984,1984,4,1,14324
4/2/1984,1984,4,2,4694
4/3/1984,1984,4,3,7988
4/4/1984,1984,4,4,1706
4/5/1984,1984,4,5,11930
4/6/1984,1984,4,6,15088
4/7/1984,1984,4,7,11786
4/8/1984,1984,4,8,10526
4/9/1984,1984,4,9,2228
4/10/1984,1984,4,10,8957
4/11/1984,1984,4,11,10494
4/12/1984,1984,4,12,10159
4/13/1984,1984,4,13,4079
4/14/1984,1984,4,14,16448
4/15/1984,1984,4,15,21193
4/16/1984,1984,4,16,20851
4/17/1984,1984,4,17,4079
4/18/1984,1984,4,18,16704
4/19/1984,1984,4,19,20236
4/20/1984,1984,4,20,21499
4/21/1984,1984,4,21,10325
4/22/1984,1984,4,22,15433
4/23/1984,1984,4,23,13482
4/24/1984,1984,4,24,10793
4/25/1984,1984,4,25,21614
4/26/1984,1984,4,26,11210
4/27/1984,1984,4,27,14339
4/28/1984,1984,4,28,13007
4/29/1984,1984,4,29,17129
4/30/1984,1984,4,30,12413
5/1/1984,1984,5,1,4266
5/2/1984,1984,5,2,12542
5/3/1984,1984,5,3,17096
5/4/1984,1984,5,4,23548
5/5/1984,1984,5,5,12463
5/6/1984,1984,5,6,14044
5/7/1984,1984,5,7,4756
5/8/1984,1984,5,8,10022
5/9/1984,1984,5,9,15718
5/10/1984,1984,5,10,17053
5/11/1984,1984,5,11,2351
5/12/1984,1984,5,12,2365
5/13/1984,1984,5,13,2876
5/14/1984,1984,5,14,5155
5/15/1984,1984,5,15,16956
5/16/1984,1984,5,16,14951
5/17/1984,1984,5,17,26946
5/18/1984,1984,5,18,23116
5/19/1984,1984,5,19,22432
5/20/1984,1984,5,20,24242
5/21/1984,1984,5,21,8060
5/22/1984,1984,5,22,19314
5/23/1984,1984,5,23,13932
5/24/1984,1984,5,24,13903
5/25/1984,1984,5,25,13061
5/26/1984,1984,5,26,16538
5/27/1984,1984,5,27,21751
5/28/1984,1984,5,28,9238
5/29/1984,1984,5,29,5551
5/30/1984,1984,5,30,10595
5/31/1984,1984,5,31,22352
6/1/1984,1984,6,1,25168
6/2/1984,1984,6,2,24574
6/3/1984,1984,6,3,23249
6/4/1984,1984,6,4,16477
6/5/1984,1984,6,5,23778
6/6/1984,1984,6,6,15012
6/7/1984,1984,6,7,17348
6/8/1984,1984,6,8,10800
6/9/1984,1984,6,9,14897
6/10/1984,1984,6,10,13493
6/11/1984,1984,6,11,17903
6/12/1984,1984,6,12,21823
6/13/1984,1984,6,13,25420
6/14/1984,1984,6,14,11110
6/15/1984,1984,6,15,10843
6/16/1984,1984,6,16,8629
6/17/1984,1984,6,17,14767
6/18/1984,1984,6,18,24210
6/19/1984,1984,6,19,25024
6/20/1984,1984,6,20,18446
6/21/1984,1984,6,21,22961
6/22/1984,1984,6,22,10076
6/23/1984,1984,6,23,13064
6/24/1984,1984,6,24,17154
6/25/1984,1984,6,25,14792
6/26/1984,1984,6,26,7729
6/27/1984,1984,6,27,19012
6/28/1984,1984,6,28,22064
6/29/1984,1984,6,29,8168
6/30/1984,1984,6,30,21071
7/1/1984,1984,7,1,16369
7/2/1984,1984,7,2,8003
7/3/1984,1984,7,3,11484
7/4/1984,1984,7,4,14659
7/5/1984,1984,7,5,8777
7/6/1984,1984,7,6,6959
7/7/1984,1984,7,7,19062
7/8/1984,1984,7,8,24869
7/9/1984,1984,7,9,27428
7/10/1984,1984,7,10,25711
7/11/1984,1984,7,11,25783
7/12/1984,1984,7,12,24001
7/13/1984,1984,7,13,23616
7/14/1984,1984,7,14,23422
7/15/1984,1984,7,15,9558
7/16/1984,1984,7,16,12377
7/17/1984,1984,7,17,12647
7/18/1984,1984,7,18,3499
7/19/1984,1984,7,19,18590
7/20/1984,1984,7,20,16070
7/21/1984,1984,7,21,17003
7/22/1984,1984,7,22,17316
7/23/1984,1984,7,23,18058
7/24/1984,1984,7,24,18515
7/25/1984,1984,7,25,15944
7/26/1984,1984,7,26,20138
7/27/1984,1984,7,27,6167
7/28/1984,1984,7,28,10955
7/29/1984,1984,7,29,7416
7/30/1984,1984,7,30,21895
